kod_chu,DRUH,POSLEDNI_NALEZ
CZ0213086,Bombina bombina,2023-05-25
CZ0213086,Lucanus cervus,2022-06-15
CZ0213086,Lynx lynx,2002-02-11
CZ0213086,Phengaris nausithous,2006-08-09
CZ0213086,Phengaris teleius,2009-07-05
CZ0213086,Sanguisorba officinalis,2023-08-16
CZ0213086,Succisa pratensis,2009-04-11
CZ0213086,Triturus cristatus,2025-07-17
CZ0213086,Vertigo angustior,2009-09-21
CZ0213512,Bombina variegata,2025-09-09
CZ0213512,Lemna trisulca,2009-06-17
CZ0213512,Triturus cristatus,2025-07-01
CZ0213600,Myotis myotis,2020-06-05
CZ0213601,Chazara briseis,2005-01-01
CZ0213601,Hipparchia semele,2005-01-01
CZ0213601,Myotis myotis,2019-07-17
CZ0213602,Myotis myotis,2005-06-26
CZ0213610,Barbastella barbastellus,2025-02-07
CZ0213610,Myotis myotis,2023-06-26
CZ0213610,Myotis sp.,2024-07-15
CZ0213611,Lucanus cervus,2011-07-05
CZ0213611,Myotis myotis,2025-07-24
CZ0213612,Myotis myotis,2011-07-05
CZ0213613,Barbastella barbastellus,2015-02-11
CZ0213613,Myotis bechsteinii,2014-12-30
CZ0213613,Myotis emarginatus,2015-02-11
CZ0213613,Myotis myotis,2015-02-11
CZ0213613,Myotis sp.,2014-12-30
CZ0213613,Rhinolophus hipposideros,2015-02-11
CZ0213615,Myotis myotis,2021-01-30
CZ0213615,Rhinolophus hipposideros,2025-01-25
CZ0213620,Myotis bechsteinii,2021-02-04
CZ0213620,Myotis myotis,2016-02-27
CZ0213620,Myotis sp.,2021-02-04
CZ0213621,Barbastella barbastellus,2026-01-23
CZ0213621,Euplagia quadripunctaria,2021-08-09
CZ0213621,Hipparchia semele,2009-08-01
CZ0213621,Myotis bechsteinii,2023-01-27
CZ0213621,Myotis emarginatus,2026-01-23
CZ0213621,Myotis myotis,2026-01-23
CZ0213621,Rhinolophus hipposideros,2026-01-23
CZ0213626,Myotis myotis,2015-07-17
CZ0213626,Rhinolophus hipposideros,2015-07-17
CZ0213628,Myotis myotis,2025-07-28
CZ0213630,Myotis myotis,2005-06-25
CZ0213631,Myotis myotis,2006-06-28
CZ0213776,Spermophilus citellus,2025-07-01
CZ0213777,Euplagia quadripunctaria,2018-07-19
CZ0213777,Phengaris nausithous,2021-07-27
CZ0213777,Sanguisorba officinalis,2012-06-07
CZ0213779,Cerambyx cerdo,2009-06-01
CZ0213779,Euplagia quadripunctaria,2023-07-18
CZ0213779,Hipparchia semele,2004-01-01
CZ0213779,Lucanus cervus,2025-07-31
CZ0213779,Myotis alcathoe/emarginatus,2019-08-31
CZ0213779,Myotis myotis,2019-05-29
CZ0213779,Myotis sp.,2019-08-31
CZ0213783,Bombina variegata,2025-09-08
CZ0213783,Euplagia quadripunctaria,2017-08-17
CZ0213783,Lycaena dispar,2022-06-05
CZ0213783,Myotis myotis,2015-05-05
CZ0213783,Sanguisorba officinalis,2014-05-25
CZ0213783,Triturus cristatus,2025-08-18
CZ0213784,Bombina bombina,2025-08-04
CZ0213784,Lycaena dispar,2023-07-16
CZ0213784,Phengaris nausithous,2024-07-22
CZ0213784,Sanguisorba officinalis,2014-10-01
CZ0213784,Triturus cristatus,2018-06-11
CZ0213785,Bombina bombina,2025-08-04
CZ0213785,Lemna trisulca,2009-08-10
CZ0213785,Phengaris nausithous,2021-07-28
CZ0213785,Vertigo angustior,2015-03-28
CZ0213787,Bombina bombina,2021-09-04
CZ0213787,Bombina variegata,2024-07-05
CZ0213787,Hipparchia semele,1995-01-01
CZ0213787,Myotis myotis,2015-05-06
CZ0213787,Myotis sp.,2020-10-01
CZ0213787,Phengaris nausithous,2021-07-13
CZ0213787,Phengaris teleius,2021-07-13
CZ0213787,Sanguisorba officinalis,2014-06-07
CZ0213787,Succisa pratensis,2014-06-07
