kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0724089,Aconitum firmum subsp. moravicum,AFM127,6575b,2022-08-12,2022-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM128,6575b,2022-08-12,2022-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM129,6575b,2022-08-08,2022-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM12b,6476c,2006-05-12,2006-05-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM13,6476c,2005-07-01,2006-05-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM130,6575b,2024-08-08,2024-08-08
CZ0724089,Aconitum firmum subsp. moravicum,AFM134,6476c,2022-08-04,2022-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM135,6576a,2021-08-19,2024-08-27
CZ0724089,Aconitum firmum subsp. moravicum,AFM136,6576a,2021-08-19,2025-08-11
CZ0724089,Aconitum firmum subsp. moravicum,AFM137,6576a,2021-08-19,2025-08-11
CZ0724089,Aconitum firmum subsp. moravicum,AFM138,6576a,2021-08-19,2024-08-24
CZ0724089,Aconitum firmum subsp. moravicum,AFM139,6476c,2021-08-12,2021-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM14,6575b,2005-07-01,2006-05-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM140,6476c,2024-08-25,2024-08-25
CZ0724089,Aconitum firmum subsp. moravicum,AFM141,6476c,2021-08-12,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM142,6474d,2021-08-10,2024-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM143,6474d,2021-08-10,2024-08-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM145,6475c,2021-08-10,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM146,6475c,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM147,6474d,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM148,6576a,2024-08-14,2024-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM149,6575a,2021-08-10,2025-11-21
CZ0724089,Aconitum firmum subsp. moravicum,AFM150,6575a,2021-08-11,2025-08-05
CZ0724089,Aconitum firmum subsp. moravicum,AFM151,6575a,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM152,6575a,2023-11-16,2023-11-16
CZ0724089,Aconitum firmum subsp. moravicum,AFM153,6575a,2024-08-17,2025-08-05
CZ0724089,Aconitum firmum subsp. moravicum,AFM154A,6575a,2024-08-17,2024-08-17
CZ0724089,Aconitum firmum subsp. moravicum,AFM154B,6575a,2024-08-17,2024-08-17
CZ0724089,Aconitum firmum subsp. moravicum,AFM154C,6575a,2024-08-16,2024-08-16
CZ0724089,Aconitum firmum subsp. moravicum,AFM155,6575a,2022-08-01,2024-08-17
CZ0724089,Aconitum firmum subsp. moravicum,AFM157,6476c,2022-08-03,2024-08-24
CZ0724089,Aconitum firmum subsp. moravicum,AFM158,"13,""6576a""",2022-08-04,2022-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM159,6576a,2022-08-04,2022-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM16,6575b,2005-07-01,2006-05-12
CZ0724089,Aconitum firmum subsp. moravicum,AFM160,6476c,2021-08-30,2025-08-20
CZ0724089,Aconitum firmum subsp. moravicum,AFM161,"03,""6576a""",2025-08-20,2025-08-20
CZ0724089,Aconitum firmum subsp. moravicum,AFM161,6476c,2021-08-12,2021-08-12
