kod_chu,DRUH,KOD_LOKAL,POLE,ROK,ID_IND,SKUPINA,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,DATUM,CILMON,TYP_IND,KLIC,UROVEN,IND_GRP,JEDNOTKA,LIM_IND,LIM_INDLIST,STAV_IND,HOD_IND
CZ0214012,Rhinolophus hipposideros,EVL Příhrazské skála - B5 Krtola,5456c,2015,POP_PRESENCE,Letouni,EVL Příhrazské skála - B5 Krtola,"9547035, 9547075",5835685,2015-07-06,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,EVL Příhrazské skály - A6 Hynšta,5456c,2015,CELKOVE_HODNOCENI,Letouni,EVL Příhrazské skály - A6 Hynšta,9547060,5835146,2015-07-03,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,EVL Příhrazské skály - A6 Hynšta,5456c,2015,CELKOVE_SUM,Letouni,EVL Příhrazské skály - A6 Hynšta,9547060,5835146,2015-07-03,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,EVL Příhrazské skály - A6 Hynšta,5456c,2015,POP_PRESENCE,Letouni,EVL Příhrazské skály - A6 Hynšta,9547060,5835146,2015-07-03,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,Hynšta,5456c,2016,CELKOVE_HODNOCENI,Letouni,Hynšta,9807673,5375454,2016-01-08,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,Hynšta,5456c,2016,CELKOVE_SUM,Letouni,Hynšta,9807673,5375454,2016-01-08,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,Hynšta,5456c,2016,POP_PRESENCE,Letouni,Hynšta,9807673,5375454,2016-01-08,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,Jenčova sluj,5456c,2019,CELKOVE_HODNOCENI,Letouni,Jenčova sluj,11222903,5375455,2019-01-03,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,Jenčova sluj,5456c,2019,CELKOVE_SUM,Letouni,Jenčova sluj,11222903,5375455,2019-01-03,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,Jenčova sluj,5456c,2019,POP_PRESENCE,Letouni,Jenčova sluj,11222903,5375455,2019-01-03,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,Krtola,5456c,2016,CELKOVE_HODNOCENI,Letouni,Krtola,9789933,4929536,2016-09-10,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,Krtola,5456c,2016,CELKOVE_SUM,Letouni,Krtola,9789933,4929536,2016-09-10,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,Krtola,5456c,2016,POP_PRESENCE,Letouni,Krtola,9789933,4929536,2016-09-10,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,Krtola u Příhraz - jeskyně,5456c,2025,CELKOVE_HODNOCENI,Letouni,Krtola u Příhraz - jeskyně,15620351,5062270,2025-01-16,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,Krtola u Příhraz - jeskyně,5456c,2025,CELKOVE_SUM,Letouni,Krtola u Příhraz - jeskyně,15620351,5062270,2025-01-16,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,Krtola u Příhraz - jeskyně,5456c,2025,POP_PRESENCE,Letouni,Krtola u Příhraz - jeskyně,15620351,5062270,2025-01-16,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214012,Rhinolophus hipposideros,Mužský,5456c,2021,CELKOVE_HODNOCENI,Letouni,Mužský,11748676,8278616,2021-10-07,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214012,Rhinolophus hipposideros,Mužský,5456c,2021,CELKOVE_SUM,Letouni,Mužský,11748676,8278616,2021-10-07,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214012,Rhinolophus hipposideros,Mužský,5456c,2021,POP_PRESENCE,Letouni,Mužský,11748676,8278616,2021-10-07,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
