kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0210714,Ameiurus nebulosus,5957d,2004-01-01
CZ0210714,Ameiurus nebulosus,5958c,2004-01-01
CZ0210714,Blicca bjoerkna,5957d,2016-10-05
CZ0210714,Blicca bjoerkna,5958c,2004-01-01
CZ0210714,Bombina bombina,5957d,2024-05-02
CZ0210714,Cucujus cinnaberinus,5957d,2021-03-31
CZ0210714,Cucujus cinnaberinus,5958c,2023-07-24
CZ0210714,Lemna trisulca,"19,""5957d""",2022-08-30
CZ0210714,Lemna trisulca,5957d,2011-08-16
CZ0210714,Leuciscus aspius,5957d,2016-10-05
CZ0210714,Leuciscus aspius,5958c,2016-10-05
CZ0210714,Lutra lutra,5958c,2004-08-01
CZ0210714,Rhodeus amarus,5957d,2007-08-03
CZ0210714,Rhodeus amarus,5958c,2007-08-03
CZ0210714,Scardinius erythrophthalmus,5957d,2016-10-05
CZ0210714,Scardinius erythrophthalmus,5958c,2016-10-05
CZ0210714,Triturus cristatus,5957d,2011-04-07
CZ0210719,Euplagia quadripunctaria,5855d,2021-08-06
CZ0210719,Sanguisorba officinalis,5855d,2021-05-02
CZ0210720,Bombina bombina,5656c,2023-04-15
CZ0210720,Lucanus cervus,5656c,2025-06-14
CZ0210720,Succisa pratensis,"35,""5756a""",2017-07-19
CZ0210720,Succisa pratensis,"39,""5756a""",2025-07-05
CZ0210720,Succisa pratensis,5656c,2025-07-05
CZ0210720,Succisa pratensis,5756a,2020-06-23
CZ0210720,Vertigo angustior,5656c,2006-11-22
CZ0210721,Sanguisorba officinalis,5756a,2004-06-08
CZ0210721,Succisa pratensis,5756a,2021-09-13
CZ0210721,Vertigo angustior,5756a,2006-11-22
CZ0210721,Vertigo moulinsiana,5756a,2015-10-06
CZ0210729,Cucujus cinnaberinus,5852a,2024-03-23
CZ0210729,Euplagia quadripunctaria,5852a,2022-08-07
CZ0210729,Hipparchia semele,NA,1995-01-01
CZ0210729,Lucanus cervus,5852a,2017-07-04
CZ0210729,Lycaena dispar,5852a,2022-06-08
CZ0210729,Myotis myotis,5852a,2013-08-24
CZ0210731,Bombina bombina,6455a,2023-06-19
CZ0210731,Sanguisorba officinalis,6455a,2010-05-28
CZ0210731,Succisa pratensis,6455a,2018-05-22
CZ0210732,Succisa pratensis,6354a,2014-08-22
CZ0212001,Bombina bombina,6448d,2022-05-10
CZ0212001,Coleanthus subtilis,6448d,2023-05-30
CZ0212004,Cypripedium calceolus,5749d,2024-06-07
CZ0212004,Euplagia quadripunctaria,5749d,2018-07-20
CZ0212006,Castor fiber,5556a,2024-12-15
CZ0212006,Cottus gobio,5556a,2022-06-22
CZ0212006,Myotis bechsteinii,"45,""5556a""",2015-05-04
CZ0212006,Trichomanes speciosum,5556a,2021-05-12
CZ0212008,Minuartia smejkalii,6455a,2025-07-07
CZ0212010,Bombina bombina,6448d,2022-05-10
CZ0212010,Coleanthus subtilis,6448d,2023-05-30
CZ0212019,Adenophora liliifolia,5749a,2024-07-23
CZ0212019,Adenophora liliifolia,"98,""5749a""",2005-01-01
CZ0212019,Bombina bombina,5749a,2002-05-01
CZ0212019,Cypripedium calceolus,5749a,2024-05-19
CZ0212019,Euplagia quadripunctaria,"98,""5749a""",2008-08-19
CZ0212019,Sanguisorba officinalis,5749a,2021-07-07
CZ0212019,Succisa pratensis,5749a,2021-07-07
CZ0212019,Vertigo angustior,5749a,2019-07-16
CZ0212020,Cottus gobio,5455c,2011-10-01
CZ0212020,Cottus gobio,5555a,2012-08-17
CZ0212020,Cottus gobio,"76,""5555a""",2012-08-17
CZ0212020,Lampetra planeri,5455c,2011-10-01
CZ0212020,Lampetra planeri,5555a,2012-08-17
CZ0212020,Lampetra planeri,"76,""5555a""",2012-08-17
