typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;ind_nadr;metodika
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;34;83.33;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;36;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;37;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;38;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;130;16.67;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;131;6;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813439;Děhylovský potok - Štěpán;Bombina bombina;1188;2022-05-02;2024-10-18;Krajský úřad Moravskoslezského kraje;10;NA;NA;hodnocení dílčích parametrů;špatný;setrvalý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0713008;Deylův ostrůvek;Triturus cristatus;1166;2022-05-13;2024-07-15;Krajský úřad Olomouckého kraje;27;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0713008;Deylův ostrůvek;Triturus cristatus;1166;2022-05-13;2024-07-15;Krajský úřad Olomouckého kraje;21;11;NA;adulti;nehodnocen;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0713008;Deylův ostrůvek;Triturus cristatus;1166;2022-05-13;2024-07-15;Krajský úřad Olomouckého kraje;22;50;NA;adulti;nehodnocen;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0713008;Deylův ostrůvek;Triturus cristatus;1166;2022-05-13;2024-07-15;Krajský úřad Olomouckého kraje;80;0;100;% lokalit v dobrém stavu;špatný;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0713008;Deylův ostrůvek;Triturus cristatus;1166;2022-05-13;2024-07-15;Krajský úřad Olomouckého kraje;30;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0713008;Deylův ostrůvek;Triturus cristatus;1166;2022-05-13;2024-07-15;Krajský úřad Olomouckého kraje;31;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0713008;Deylův ostrůvek;Triturus cristatus;1166;2022-05-13;2024-07-15;Krajský úřad Olomouckého kraje;32;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
