TYP_CHU;SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY;DATUM_VYPOCTU
EVL;CZ0524050;9170;9,16114774157130e+00;0,00000000000000;22;2026-09-24
EVL;CZ0320030;9110;8,51986999787049e+00;1,25826165479254;17;2026-09-24
EVL;CZ0320030;9180;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0620415;3140;;;;2026-09-24
EVL;CZ0610022;6410;;;;2026-09-24
EVL;CZ0110049;4030;;;;2026-09-24
EVL;CZ0530037;9180;2,73996117010117e-01;0,00000000000000;2;2026-09-24
EVL;CZ0313098;3160;;;;2026-09-24
EVL;CZ0313098;7140;;;;2026-09-24
EVL;CZ0620418;3130;;;;2026-09-24
EVL;CZ0810423;9170;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0810423;9190;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0612135;3130;;;;2026-09-24
EVL;CZ0624070;2330;;;;2026-09-24
EVL;CZ0624070;6260;;;;2026-09-24
EVL;CZ0624070;91E0;5,85707031706706e+00;1,01351985481763;12;2026-09-24
EVL;CZ0624070;91G0;1,22887165725008e+01;2,35161437275023;29;2026-09-24
EVL;CZ0624070;91I0;2,08880532629020e+01;9,75445524540258;38;2026-09-24
EVL;CZ0620005;6210;;;;2026-09-24
EVL;CZ0620005;6210p;;;;2026-09-24
EVL;CZ0620005;91G0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0420007;6210;;;;2026-09-24
EVL;CZ0420007;9170;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0420007;91H0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0424038;6190;;;;2026-09-24
EVL;CZ0424038;6210;;;;2026-09-24
EVL;CZ0424038;6510;;;;2026-09-24
EVL;CZ0424038;8220;;;;2026-09-24
EVL;CZ0424038;8230;;;;2026-09-24
EVL;CZ0424038;40A0;;;;2026-09-24
EVL;CZ0420014;6110;;;;2026-09-24
EVL;CZ0420014;6190;;;;2026-09-24
EVL;CZ0420014;6210;;;;2026-09-24
EVL;CZ0420014;8220;;;;2026-09-24
EVL;CZ0420014;9180;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0420014;40A0;;;;2026-09-24
EVL;CZ0423507;3260;;;;2026-09-24
EVL;CZ0423507;6430;;;;2026-09-24
EVL;CZ0314022;3140;;;;2026-09-24
EVL;CZ0314022;3260;;;;2026-09-24
EVL;CZ0314022;9110;3,49966239133986e+00;0,00000000000000;13;2026-09-24
EVL;CZ0314022;9130;2,65493001530000e+00;0,00000000000000;7;2026-09-24
EVL;CZ0314022;91E0;5,02919948383607e-01;0,00000000000000;2;2026-09-24
EVL;CZ0610029;3130;;;;2026-09-24
EVL;CZ0513506;2330;;;;2026-09-24
EVL;CZ0513506;3140;;;;2026-09-24
EVL;CZ0513506;3150;;;;2026-09-24
EVL;CZ0513506;3260;;;;2026-09-24
EVL;CZ0513506;6410;;;;2026-09-24
EVL;CZ0513506;6430;;;;2026-09-24
EVL;CZ0513506;7140;;;;2026-09-24
EVL;CZ0513506;91D0;6,39372796539939e-01;0,00000000000000;4;2026-09-24
EVL;CZ0513506;91E0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0724429;8310;;;;2026-09-24
EVL;CZ0724429;9110;7,60472815133423e+00;0,00000000000000;31;2026-09-24
EVL;CZ0724429;9130;2,99071936551361e+01;10,33738623142301;79;2026-09-24
EVL;CZ0724429;9180;2,00831880961918e+00;0,00000000000000;16;2026-09-24
EVL;CZ0210010;6210;;;;2026-09-24
EVL;CZ0210010;9170;2,51611657069530e-02;0,00000000000000;1;2026-09-24
EVL;CZ0210010;91I0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0622009;6210;;;;2026-09-24
EVL;CZ0210172;3140;;;;2026-09-24
EVL;CZ0210172;6210;;;;2026-09-24
EVL;CZ0210172;6410;;;;2026-09-24
EVL;CZ0210172;7210;;;;2026-09-24
EVL;CZ0210172;7230;;;;2026-09-24
EVL;CZ0210043;9110;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0210043;9180;2,58322058729385e-02;0,00000000000000;1;2026-09-24
EVL;CZ0520020;8220;;;;2026-09-24
EVL;CZ0520020;9110;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0520020;9130;6,62048196420239e-01;0,00000000000000;2;2026-09-24
EVL;CZ0414127;3150;;;;2026-09-24
