SITECODE,HABITAT_CODE,ID_IND,TYP_IND,LIM_IND,ZDROJ,rowname
CZ0314022,9130,ROZLOHA,min,47.07,VMB2,423
CZ0314022,9.10E+01,ROZLOHA,min,13.73,SDF,424
CZ0314023,2330,ROZLOHA,min,1.12,SDF,425
CZ0314023,3150,ROZLOHA,min,50,SDF,426
CZ0314023,3160,ROZLOHA,min,0.61,SDF,427
CZ0314023,3260,ROZLOHA,min,38.22,SDF,428
CZ0314023,7140,ROZLOHA,min,12.66,SDF,429
CZ0314023,7150,ROZLOHA,min,0.16,SDF,430
CZ0314023,9190,ROZLOHA,min,190.59,SDF,431
CZ0314023,9.10E+01,ROZLOHA,min,17.94,SDF,432
CZ0314023,91F0,ROZLOHA,min,119.53,SDF,433
CZ0314024,3130,ROZLOHA,min,32.7,VMB2,434
CZ0314024,3150,ROZLOHA,min,39.18,VMB2,435
CZ0314024,3160,ROZLOHA,min,7.21,VMB2,436
CZ0314024,3260,ROZLOHA,min,86.81,VMB2,437
CZ0314024,4030,ROZLOHA,min,132.96,SDF,438
CZ0314024,5130,ROZLOHA,min,14.94,VMB2,439
CZ0314024,6230,ROZLOHA,min,1413.67,VMB2,440
CZ0314024,6410,ROZLOHA,min,482.98,SDF,441
CZ0314024,6430,ROZLOHA,min,1187.28,SDF,442
CZ0314024,6510,ROZLOHA,min,3698.74,VMB2,443
CZ0314024,6520,ROZLOHA,min,5230.87,VMB2,444
