ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND;ID_ND_LOK
2014;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;jeskyně Žába;jeskyně Žába;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2003-01-31;2026-01-20;9371253;2014-01-29;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5668042
2014;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;jeskyně Žába;jeskyně Žába;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2003-01-31;2026-01-20;9371253;2014-01-29;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5668042
2014;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;jeskyně Žába;jeskyně Žába;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2003-01-31;2026-01-20;9371253;2014-01-29;1;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5668042
2021;CZ0214012;Příhrazské skály;Rhinolophus hipposideros;Letouni;Branžež;Branžež;5456c;RP Liberecko;AOPK ČR - RP Liberecko;2021-09-07;2021-09-09;11747977, 11748677;2021-09-09;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;8277711
2021;CZ0214012;Příhrazské skály;Rhinolophus hipposideros;Letouni;Branžež;Branžež;5456c;RP Liberecko;AOPK ČR - RP Liberecko;2021-09-07;2021-09-09;11747977, 11748677;2021-09-09;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;8277711
2021;CZ0214012;Příhrazské skály;Rhinolophus hipposideros;Letouni;Branžež;Branžež;5456c;RP Liberecko;AOPK ČR - RP Liberecko;2021-09-07;2021-09-09;11747977, 11748677;2021-09-09;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;8277711
2021;CZ0214012;Příhrazské skály;Rhinolophus hipposideros;Letouni;Dneboh;Dneboh;5456c;RP Liberecko;AOPK ČR - RP Liberecko;2021-07-15;2021-10-07;11746061, 11747954;2021-10-07;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;8273607
2021;CZ0214012;Příhrazské skály;Rhinolophus hipposideros;Letouni;Dneboh;Dneboh;5456c;RP Liberecko;AOPK ČR - RP Liberecko;2021-07-15;2021-10-07;11746061, 11747954;2021-10-07;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;8273607
2021;CZ0214012;Příhrazské skály;Rhinolophus hipposideros;Letouni;Dneboh;Dneboh;5456c;RP Liberecko;AOPK ČR - RP Liberecko;2021-07-15;2021-10-07;11746061, 11747954;2021-10-07;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;8273607
2015;CZ0214012;Příhrazské skály;Rhinolophus hipposideros;Letouni;EVL Příhrazské skála - B5 Krtola;EVL Příhrazské skála - B5 Krtola;5456c;RP Liberecko;AOPK ČR - RP Liberecko;2015-05-13;2015-07-06;9547035, 9547075;2015-07-06;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5835685
